ticker,ticker_nm,market_cap,market_cap_ratio,share_count,foreign_ratio,industry
003240,태광산업,1329399600000,0.0007,1113400,,화학섬유 제조업
064350,현대로템,1326000000000,0.0007,85000000,,철도장비 제조업
039130,하나투어,1318436997500,0.0007,11616185,,여행사 및 기타 여행보조 서비스업
046890,서울반도체,1297295150000,0.0007,58305400,,반도체 제조업
078160,메디포스트,1296639465000,0.0007,7858421,,기초 의약물질 및 생물학적 제제 제조업
098460,고영,1289216584200,0.0007,13685951,,특수 목적용 기계 제조업
192080,더블유게임즈,1287991624800,0.0007,17595514,,소프트웨어 개발 및 공급업
214320,이노션,1286000000000,0.0007,20000000,,광고업
115390,락앤락,1284250000000,0.0007,55000000,,플라스틱제품 제조업
185750,종근당,1269481826000,0.0007,9879236,,의약품 제조업
285130,SK케미칼,1262203868000,0.0006,11579852,,합성고무 및 플라스틱 물질 제조업
111770,영원무역,1258445691200,0.0006,44311468,,상품 종합 도매업
057050,현대홈쇼핑,1254000000000,0.0006,12000000,,무점포 소매업
056190,에스에프에이,1249624848000,0.0006,35908760,,특수 목적용 기계 제조업
028150,GS홈쇼핑,1240312500000,0.0006,6562500,,텔레비전 방송업
003090,대웅,1220981580000,0.0006,58141980,,기타 금융업
005300,롯데칠성,1218203304000,0.0006,799346,,비알코올음료 및 얼음 제조업
038540,텍셀네트컴,1210421863950,0.0006,47748397,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
022100,포스코 ICT,1208676095550,0.0006,152034729,,"건축기술, 엔지니어링 및 관련 기술 서비스업"
180640,한진칼,1204118820300,0.0006,59170458,,기타 금융업
001440,대한전선,1194779847555,0.0006,856473009,,절연선 및 케이블 제조업
002350,넥센타이어,1191548099400,0.0006,97667877,,고무제품 제조업
082640,동양생명,1185985599750,0.0006,161358585,,보험업
014820,동원시스템즈,1183575208200,0.0006,25618511,,플라스틱제품 제조업
089590,제주항공,1142565459300,0.0006,26356758,,항공 여객 운송업
003000,부광약품,1131937893600,0.0006,44564484,,의약품 제조업
103140,풍산,1125174761700,0.0006,28024278,,1차 비철금속 제조업
108230,톱텍,1120236089850,0.0006,36078457,,특수 목적용 기계 제조업
052690,한전기술,1119846000000,0.0006,38220000,,"건축기술, 엔지니어링 및 관련 기술 서비스업"
200230,텔콘,1104367953600,0.0006,76692219,,통신 및 방송 장비 제조업
079550,LIG넥스원,1087900000000,0.0006,22000000,,무기 및 총포탄 제조업
005610,SPC삼립,1082940629500,0.0006,8629009,,기타 식품 제조업
069080,웹젠,1076981962000,0.0006,35310884,,소프트웨어 개발 및 공급업
023590,다우기술,1056608830350,0.0005,44866617,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
036830,솔브레인,1056075049700,0.0005,17398271,,기타 화학제품 제조업
115450,지트리비앤티,1050643712800,0.0005,23141932,,전자부품 제조업
102940,코오롱생명과학,1047654280800,0.0005,11412356,,기초 의약물질 및 생물학적 제제 제조업
001120,LG상사,1046520000000,0.0005,38760000,,상품 중개업
003380,제일홀딩스,1043090500000,0.0005,70718000,,기타 금융업
069260,휴켐스,1021964700000,0.0005,40878588,,기타 화학제품 제조업
066970,엘앤에프,997863511400,0.0005,24577919,,일차전지 및 축전지 제조업
006840,AK홀딩스,997541343300,0.0005,13247561,,기타 금융업
042000,카페24,994771031100,0.0005,8858157,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
