,year_month,ticker_count,gross_market_cap,traded_volume_monthly,traded_volume_daily,traded_money_monthly,traded_money_daily,turnover_rate_share,turnover_rate_marketcap
117,2015-10,2097.0,1482541686534000.0,29422043995.0,1401049714.0,181822496308000.0,8658214110000.0,47.56,12.39
118,2015-11,2112.0,1466545855745000.0,24785041730.0,1180240082.0,174023066127000.0,8286812673000.0,39.49,11.83
119,2015-12,2149.0,1448410480740000.0,24040500602.0,1144785743.0,150032785720000.0,7144418368000.0,37.95,10.37
120,2016-01,2150.0,1413957412526000.0,19586818772.0,979340939.0,166192647274000.0,8309632364000.0,30.68,11.83
121,2016-02,2157.0,1412296740926000.0,15891013097.0,882834061.0,139779317335000.0,7765517630000.0,24.73,10.0
122,2016-03,2164.0,1475816114487000.0,20927773038.0,951262411.0,165735747633000.0,7533443074000.0,32.23,11.35
123,2016-04,2166.0,1479276474603000.0,21437842054.0,1071892103.0,162979114682000.0,8148955734000.0,32.89,11.01
124,2016-05,2169.0,1472871099806000.0,24203096414.0,1210154821.0,170732514035000.0,8536625702000.0,36.88,11.71
125,2016-06,2180.0,1463513038888000.0,30495961837.0,1452188659.0,191550255573000.0,9121440742000.0,46.15,13.06
126,2016-07,2190.0,1503840063220000.0,27834781245.0,1325465774.0,174420605402000.0,8305743114000.0,41.76,11.69
127,2016-08,2196.0,1506424594504000.0,22210547803.0,1009570355.0,173199580738000.0,7872708215000.0,32.98,11.43
128,2016-09,2203.0,1517356864864000.0,22783068908.0,1199108890.0,153921844321000.0,8101149701000.0,33.56,10.16
129,2016-10,2219.0,1480783701717000.0,18273084648.0,913654232.0,150649793537000.0,7532489677000.0,26.64,10.0
130,2016-11,2231.0,1470950670847000.0,19967010968.0,907591408.0,162541498373000.0,7388249926000.0,28.85,11.08
131,2016-12,2249.0,1514271512890000.0,19926675531.0,948889311.0,136485426526000.0,6499306025000.0,28.41,9.09
132,2017-01,2246.0,1540627313057000.0,22747406679.0,1137370334.0,140771033266000.0,7038551663000.0,32.01,9.15
133,2017-02,2249.0,1553477861084000.0,25587519096.0,1279375955.0,145929288519000.0,7296464426000.0,35.72,9.42
134,2017-03,2252.0,1606016063849000.0,27729325551.0,1260423889.0,177311838702000.0,8059629032000.0,38.7,11.19
135,2017-04,2254.0,1640570673124000.0,23569802250.0,1178490113.0,161373453793000.0,8068672690000.0,32.7,10.02
136,2017-05,2261.0,1738042332968000.0,20224470200.0,1064445800.0,173205522377000.0,9116080125000.0,27.72,10.09
137,2017-06,2266.0,1775113422733000.0,20651002315.0,983381063.0,197312778067000.0,9395846575000.0,28.14,11.2
138,2017-07,2269.0,1783729621356000.0,17835439951.0,849306664.0,173115666323000.0,8243603158000.0,24.14,9.68
139,2017-08,2278.0,1763257465552000.0,18424895640.0,837495256.0,167827911098000.0,7628541414000.0,24.74,9.52
140,2017-09,2284.0,1787208792797000.0,19689879679.0,937613318.0,184792818379000.0,8799658018000.0,26.24,10.42
141,2017-10,2291.0,1886585232371000.0,14623676802.0,913979800.0,160865713214000.0,10054107076000.0,19.43,8.68
142,2017-11,2297.0,1884332858704000.0,24272051453.0,1103275066.0,280441117550000.0,12747323525000.0,32.0,14.65
143,2017-12,2311.0,1893469018542000.0,26131547628.0,1375344612.0,230302458930000.0,12121182049000.0,34.27,12.24
144,2018-01,2314.0,2000503268821000.0,33713296095.0,1532422550.0,348084189356000.0,15822008607000.0,43.62,17.8
